Date,Open,High,Low,Close,Adj Close,Volume
2006-10-01,10500.000000,10800.000000,9750.000000,9850.000000,6544.996094,2678552
2006-11-01,9850.000000,10550.000000,9350.000000,9950.000000,6611.442383,3507064
2006-12-01,10000.000000,10400.000000,9750.000000,10200.000000,6777.558594,806556
2007-01-01,10200.000000,10400.000000,9650.000000,10350.000000,6877.229492,2000060
2007-02-01,10250.000000,12150.000000,10000.000000,10850.000000,7209.461426,6836540
2007-03-01,10950.000000,11150.000000,10150.000000,10600.000000,7043.346191,1246068
2007-04-01,10700.000000,11800.000000,10650.000000,10850.000000,7209.461426,569072
2007-05-01,11200.000000,12150.000000,10750.000000,11100.000000,7375.579102,2701068
2007-06-01,11100.000000,11700.000000,10700.000000,11150.000000,7408.802246,1354068
2007-07-01,11000.000000,11650.000000,10000.000000,10000.000000,6644.666016,2988048
2007-08-01,10250.000000,10700.000000,8600.000000,9550.000000,6487.934082,7161550
2007-09-01,9550.000000,9850.000000,9350.000000,9400.000000,6386.029785,2243556
2007-10-01,9650.000000,10250.000000,9400.000000,10000.000000,6793.649414,5269540
2007-11-01,10100.000000,10250.000000,8400.000000,8400.000000,5706.664551,11379516
2007-12-01,8600.000000,9400.000000,8250.000000,8500.000000,5774.602051,6399020
2008-01-01,8500.000000,8900.000000,7700.000000,8150.000000,5536.823242,3445040
2008-02-01,8250.000000,8250.000000,7700.000000,7950.000000,5400.951172,6865540
2008-03-01,7950.000000,8000.000000,7400.000000,7650.000000,5197.141113,6117516
2008-04-01,7650.000000,7900.000000,7250.000000,7600.000000,5163.173828,4989524
2008-05-01,7600.000000,8000.000000,7350.000000,7400.000000,5027.299805,5869500
2008-06-01,7350.000000,8000.000000,6300.000000,6450.000000,4381.903809,5632528
2008-07-01,6450.000000,7950.000000,4850.000000,6650.000000,4517.776855,20085544
2008-08-01,6400.000000,6950.000000,6100.000000,6450.000000,4557.180176,1078068
2008-09-01,6500.000000,6550.000000,5700.000000,5900.000000,4168.582520,512568
