publishedAt,user,comment,likeCount,comment (clean)
2023-05-20T17:38:39Z,Pink Progressive,Indonesia tidak akan hancur gara2 gagal jadi tuan rumah Pildun,0,indonesia tidak akan hancur gara gara gagal jadi tuan rumah pildun
2023-05-20T16:49:43Z,Isak Nainupu,"Saya sempat kecewa karena batalnya PD U-20,bahkan sempat terpikir untuk golput karena nggak mungkin memilih Prabowo apalagi Anies tetapi setelah interview ini saya berubah pikiran.Makasih mbak Nana karena dari acara ini saya dari perbatasan RI-Timor Leste semakin yakin untuk memilih pak Ganjar......!",16,saya sempat kecewa karena batalnya pada lu bahkan sempat terpikir untuk golput karena enggak mungkin memilih prabowo apalagi anies tetapi setelah interview ini saya berubah pikiran terima kasih mbak nana karena dari acara ini saya dari perbatasan ri timor leste semakin yakin untuk memilih pak ganjar
2023-05-20T10:44:17Z,ANTO CHANEL,Pertanyaan2 dr mata najwa berbobot smart jelas... N sesuai realita. Real smart.,0,pertanyaan dari mata najwa berbobot smart jelas n sesuai realita real smart
2023-05-19T20:40:05Z,Baretz Cobain,"Hampir dari awal sampe akhir, Ganjar sudah beberapa kali menyebut nama Mega! Ini belum menjadi Presiden lalu bagaimana kalau sudah jadi! Lalu Apakah seorang Presiden tidak bisa mengambil keputusan sendiri?",0,hampir dari awal sampai akhir ganjar sudah beberapa kali menyebut nama mega ini belum menjadi presiden lalu bagaimana kalau sudah jadi lalu apakah seorang presiden tidak bisa mengambil keputusan sendiri
2023-05-19T00:25:03Z,kasih kasih,"Kalau yg di atas sudah kun fayakun pak Ganjar sebagai penerus pak Jokowi semua pasti akan di mudahkan dan ke depan pak Ganjar benar&quot; bisa mngabdi pd rakyat kecil dan bisa membawa Indonesia lebih maju dan makmur,,,walau untuk.saat ini pak Ganjar di cecar pertanyaan yg ber tubi&quot; dri media mnapun semangat pak Ganjar 80 persen indonesia mendukungmu",1,kalau yang di atas sudah kun fayakun pak ganjar sebagai penerus pak jokowi semua pasti akan di mudahkan dan ke depan pak ganjar benar bisa mngabdi pada rakyat kecil dan bisa membawa indonesia lebih maju dan makmur walau untuk saat ini pak ganjar di cecar pertanyaan yang ber tubi dari media mnapun semangat pak ganjar persen indonesia mendukungmu
2023-05-18T15:56:12Z,NihungbEnn Nihung,Maju terus pk ganjar,1,maju terus pakai ganjar
2023-05-18T10:07:47Z,sofia fazira,Cocok regane endok ayam.,0,cocok regane endok ayam
2023-05-18T07:41:13Z,ardus fernandes pati,"Bangga sama keputusan Pak Ganjar yg menolak Tim Israel. Impian semua pecinta sepak bola untuk menyaksikan Piala Dunia di Negara sendiri. Tapi Pak Ganjar berani mengubur mimpi sendiri, mimpi keluarga yg juga pecinta Sepak Bola, dan mimpi semua penggemar sepak bola demi hal yg lebih besar yaitu menegakkan Konstitusi Negara. Tdk banyak orang yg seberani Pak Ganjar..",2,bangga sama keputusan pak ganjar yang menolak tim israel impian semua pecinta sepak bola untuk menyaksikan piala dunia di negara sendiri tapi pak ganjar berani mengubur mimpi sendiri mimpi keluarga yang juga pecinta sepak bola dan mimpi semua penggemar sepak bola demi hal yang lebih besar yaitu menegakkan konstitusi negara tidak banyak orang yang seberani pak ganjar
2023-05-17T22:55:54Z,Diana Putri Wulandari,Mbak nana saya juga ngefens sama mbak nana .. saya berharap mbak nana dan team bisa mengulik insiden ponpes az zaitun yg sesat .. sya sbgai rakyat indonesia tidak ingin islam dinista oleh ponpes trsebut .. harap ikut mengusut tuntas mbak nana dan team tntng kesesatan ponpes yg ada di az zaitun .. trima kasih 🙏,0,mbak nana saya juga ngefens sama mbak nana saya berharap mbak nana dan team bisa mengulik insiden ponpes az zaitun yang sesat saya sebagai rakyat indonesia tidak ingin islam dinista oleh ponpes trsebut harap ikut mengusut tuntas mbak nana dan team tntng kesesatan ponpes yang ada di az zaitun terima kasih 
2023-05-17T22:50:13Z,Diana Putri Wulandari,Saya ngefens sama pk ganjar dan pk jokowi .. tapi sangat di sayangkan di blakang mreka ada bu mega .. apalagi katanya bu mega adlh orang² kuat yg berada di blakang pembangunan ponpes az zaitun yg sesat .. 😢,0,saya ngefens sama pakai ganjar dan pakai jokowi tapi sangat di sayangkan di blakang mereka ada bu mega apalagi katanya bu mega adalah orang² kuat yang berada di blakang pembangunan ponpes az zaitun yang sesat 
